country,total_infections,max_infections,lat,long,stringency_index,population,median_age,total_tests,government_effectiveness,law_enforcement_ability,corruption_level,human_freedom,iso_a3,gov_healthexp_pct_gdp,gov_healthexp_per_capita
Jamaica,454.55052011588674,42.21308693498205,18.1096,-77.2975,,2961167,31,469.7472314124803,0.5,-0.24,-0.16,7.16,JAM,3.67747593,179.4084002
Japan,805.5411986899286,64.04353771410477,36.0,138.0,66.67,126476461,48,745.0872617316514,1.68,1.53,1.42,8.31,JPN,9.13267407,3538.209507
Jordan,758.4924396758879,39.30164986561972,31.24,36.51,,10203134,24,2009.1865891401603,0.11,0.23,0.15,6.59,JOR,3.45735318,141.3351758
Kazakhstan,715.9402338226826,68.96842987431182,48.0196,66.9237,61.9,18776707,31,4566.029602528281,0.02,-0.43,-0.5,6.91,KAZ,2.07302569,154.0352728
Kenya,53.37420173023168,4.184388637387501,-0.0236,37.9062,59.52,53771296,20,179.09183368018506,-0.41,-0.41,-0.85,6.61,KEN,1.64588184,23.95246096
South Korea,8035.157960868696,206.576328451486,36.0,128.0,80.95,51269185,44,10508.749066325123,1.18,1.24,0.6,8.15,KOR,4.34050531,1209.043661
Kyrgyzstan,696.0245670155475,68.82075106584031,41.2044,74.7661,,6524195,26,4007.6975013775645,-0.61,-0.91,-0.95,6.65,KGZ,2.5908803,28.49957372
Latvia,6278.768188705533,353.09124492762686,56.8796,24.6032,,1886198,44,16595.288511598465,1.04,0.96,0.33,8.16,LVA,3.41067308,477.5999127
Lebanon,2015.3997285158698,96.40397073011357,33.8547,35.8623,95.24,6825445,30,2654.0394069544186,-0.64,-0.76,-1.11,6.72,LBN,4.17931965,345.183134
Liechtenstein,48546.99958036089,2071.9681074276123,47.14,9.55,,38128,43.4,23604.699958036086,1.74,1.68,2.01,8.0,LIE,nan,nan
Lithuania,6253.560882037139,400.7656791766047,55.1694,23.8813,,2722289,45,17829.480999262018,1.07,0.96,0.5,7.94,LTU,4.37671608,648.1181336
Luxembourg,98835.74183118257,5388.368281313401,49.8153,6.1296,,625978,40,49079.99961659995,1.78,1.81,2.09,8.46,LUX,5.0053057999999995,5092.7246780000005
Malaysia,2757.307135800134,156.7076610241507,2.5,112.5,85.71,32365999,30,2693.660096819505,1.08,0.62,0.31,6.38,MYS,1.91902636,182.4657085
Malta,13989.577459047025,903.6492482045916,35.9375,14.3754,,441543,43,47931.91150125809,0.97,1.05,0.58,8.42,MLT,5.86634892,1469.082741
Mauritania,30.754950149021713,1.5054870702318321,21.0079,10.9408,,4649658,20,153.34461158218517,-0.73,-0.69,-0.81,5.52,MRT,1.55438939,17.14234802
Mauritius,3783.7089783671236,254.76344742122777,-20.2,57.5,,1271768,37,6509.8351271615575,0.88,0.78,0.27,8.18,MUS,2.53455457,243.98448050000002
Mexico,401.2401720763691,41.87454214989111,23.6345,-102.5528,76.19,128932753,29,310.9450396983302,-0.15,-0.67,-0.86,6.94,MEX,2.8519693999999998,240.81204739999998
Moldova,5032.768024892643,507.9372319478388,47.4116,28.3699,,4033963,38,1554.550698655392,-0.47,-0.41,-0.73,7.17,MDA,4.38192468,83.52589378
Mongolia,124.15009044349341,9.151112317702216,46.8625,103.8467,61.9,3278290,28,328.5249322055096,-0.23,-0.27,-0.43,7.17,MNG,2.1588159,79.74844397
Montenegro,6634.653046017457,458.5505344979668,42.5,19.3,,628066,39,6168.141564740011,0.13,0.1,0.02,7.67,MNE,5.73301587,398.9023898
Morocco,626.7312118808276,54.8352558183891,31.7917,-7.0926,71.43,36910560,30,309.74875482788667,-0.21,-0.14,-0.22,6.24,MAR,2.73529496,80.33456957
Namibia,129.48142492537107,6.296968993331116,-22.9576,18.4904,,2540905,22,142.4689234741165,0.11,0.24,0.34,6.97,NAM,5.6463848,249.2869749
